質問,A,B,C,D,正解,正解
ザンビーニ・ブラザーズの長男の名前は何？,プリモ,アントニオ,エンリコ,カルメロ,プリモ,A
ザンビーニ・ブラザーズの次男の名前は何？,プリモ,アントニオ,エンリコ,カルメロ,アントニオ,B
ザンビーニ・ブラザーズの三男の名前は何？,プリモ,アントニオ,エンリコ,カルメロ,エンリコ,C
ザンビーニ・ブラザーズ・リストランテは元々何と何の製造所？,ビールと生ハム,ビールとオリーブオイル,ワインと生ハム,ワインとオリーブオイル,ワインとオリーブオイル,D
ドックサイドダイナーは何を改装して作られたレストラン？,船,貨物ターミナル,倉庫,工場,貨物ターミナル,B
グランマ・サラのキッチンのさらおばあちゃんの動物の種類は何？,ジャコウネズミ,ドブネズミ,ハツカネズミ,クマネズミ,ジャコウネズミ,A
グランマ・サラのキッチンを建てたのは誰？,ハタオリドリカップル,ラビットガールズ,スクワロルーズ,ビーバーブラザーズ,ビーバーブラザーズ,D
ヴォルケイニア・レストランは何を利用して料理を作っている？,火力,水力,地熱,風力,地熱,C
ザンビーニ・ブラザーズ・リストランテの近くにある葡萄畑を通る小道の名前「ヴィア・デッレ・ヴィティ」はどういう意味？,葡萄蔓,葡萄道,阿列布道,橄欖油,葡萄蔓,A
“OUR PRICES WON’T BLOW YOU AWAY”と書かれている建築会社は誰が運営する会社？,ビッグ・バッド・ウルフ,ティンカー・ベル,三人の騎士,三匹のこぶた,三匹のこぶた,D
パン・ギャラティック・ピザ・ポートのマネージャーは誰？,トニー・ウミローニ,トニー・ソラローニ,トニー・リクロー二,トニー・ヤマローニ,トニー・ソラローニ,B
トニー・ソラローニが操作しているPZ-5000 ピザ製造マシンの5000はどこで1日に作れるピザの枚数を表している？,地球,火星,土星,木星,土星,C
グリブ・グロブレーターは何を作る機械？,トマトソース,チーズ,ピザ生地,具材,ピザ生地,C
送風機でピザ生地を丸く平らな形に整え、厚さが均一になるようにトスする機械の名前は何？,グリップ・フロブレーター,ブロアー・フロブレーター,ファン・フロブレーター,フリップ・フロブレーター,フリップ・フロブレーター,D
カリブの海賊のアトラクションでゲストがボートに乗り込む乗船場の名前は何？,ジャック・スパロウ,ジャン・ラフィート,デイヴィ・ジョーンズ,アダム・ボールドリッジ,ジャン・ラフィート,B
ファンタスティック・フライト・ミュージアムの初代館長は誰？,チェッリーノ・ファルコ,カメリア・ファルコ,ジュリアーナ・ファルコ,アレッタ・ファルコ,チェッリーノ・ファルコ,A
メディテレーニアンハーバーとアメリカンヲーターフロントを結ぶ橋の名前は何？,ポンテ・デッラルティスタ,イソラ・デル・ゴンドリエーレ,ポンテ・ヴェッキオ,ポンテ・デイ・ベンヴェーヌティ,ポンテ・デイ・ベンヴェーヌティ,D
リストランテ・ディ・カナレットのカナレットの名前の由来になった人物は誰？,ジョヴァンニ・アントニオ・カナル,ルカ・カルレヴァリス,ジョバンニ・カンティ,ニッコロ・カッサーナ,ジョヴァンニ・アントニオ・カナル,A
ホーンテッドマンションのすべての亡霊が記録されている本の名前は何？,ゴーストヒストリー,ゴーストレジストリー,ゴーストストーリー,ゴーストタイトル,ゴーストレジストリー,B
ホーンテッドマンションの乗り物の名前は何？,ドリームバギー,ドームバギー,ドゥームバギー,ドリーミングバギー,ドゥームバギー,C
ホーンテッドマンションの建設社は誰？,ブルガリアスター,ブルガマイスター,ブルガリアマイスター,ブルガスター,ブルガマイスター,B
アラビアンコーストは誰の願いによってジーニーが作った街？,アラジン,ジャスミン,サルタン王,ジャファー,サルタン王,C
アラビアンコーストにあるジャスミンのタイル絵は誰が作ったもの？,住民,アラジン,サルタン王,ジーニー,住民,A
東京ディズニーランドのエインエントランスの建築様式は何？,チューダー朝様式,スチュアート様式,ジョージ王朝様式,ヴィクトリア朝様式,ヴィクトリア朝様式,D
スプラッシュ・マウンテンのかつての呼び名は何？,テンピンヒル,テンヒンンヒル,チカヒンヒル,チカピンヒル,チカピンヒル,D
ロストリバーデルタのジャングルに物資を運んでいたパイロットたちは自分たちをなんと呼んでいた？,ピラニア航空,ジャガー航空,オラウータン航空,コウモリ航空,ピラニア航空,A
ウエスタンランドにある自然保護区行きのキャンプ場、キャンプ・ウッドチャックに生息している非常に珍しい鳥の名前は何？,テッタートイル・バード,ティッタートゥイル・バード,テイタートゥーイル・バード,ティッタ・トーイル・バード,ティッタートゥイル・バード,B
ミッキーマウスが宇宙探査中に発見した小さな惑星の名前は何？,プラネットK,プラネットL,プラネットM,プラネットN,プラネットM,C
キャラバンカルーセルのジーニーの色にない色はどれ？,青,紫,緑,赤,赤,D
豪華客船S.S.コロンビア号を所有、運航する船会社U.S.スチームシップカンパニーのオーナーは誰？,コーネリ・エンディコ三世,コーネリアス・エンディコット三世,コーネリアス・エンディコット二世,コーネリアス・エンディコット一世,コーネリアス・エンディコット三世,B
ネモ船長が海底探査の際に使用する専用の小型潜水艇の名前は何？,ネプチューン号,ノーチラス号,アルバトロス号,ネモ号,ネプチューン号,A
ネモ船長のモットーである「モビリス、イン、モビリ」はどういう意味？,変化を持って進歩する。,変化を持って進歩する。,変化を持って変化する。,変化を持って発展する。,変化を持って変化する。,C
トゥーンタウン・ベビーセンターは誰が作った？,ドナルド,エルヴァイラ,スクルージー・マクダック,デイジー,エルヴァイラ,B
ボン・ヴォヤージュは何の形？,スーツケース,ボストンバッグ,リュックサック,ポシェット,スーツケース,A
アラビアンコーストの海辺近くに作られた、ジャスミンのお気に入りの宮殿の庭園そっくりな庭園の名前は何？,ジャスミンガーデン,プリンセスガーデン,ゴールドガーデン,ロイヤルガーデン,ロイヤルガーデン,D
アメリカンウォーターフロントの地面にあるレールは何が走る？,車,トロリー,汽車,船,トロリー,B
アメリカンウォーターフロントで直接見ることは出来ないが、走っている乗り物は何？,飛行機,タクシー,地下鉄,トラック,地下鉄,C
東京ディズニーランドにある美女と野獣のお城の煙突の先にある希望を象徴するかのようにある彫刻は何？,鳩,鶴,梟,龍,鶴,A
れすとらん北齋に飾られている葛飾北齋の代表作は何？,神奈川沖浪裏,凱風快晴,尾州不二見原,駿州江尻,神奈川沖浪裏,A
レストラン櫻のオーナーは誰？,スズキさん,サトウさん,タナカさん,ヤマダさん,タナカさん,C
S.S.コロンビア号のタグボートの名前は何？,ガストン,ヘラクレス,ピート,ミスター・インクレディブル,ヘラクレス,B
アメリカンウォーターフロントのニューヨーク・デリへと続く小さな遠オリの名前は何？,パンパト,ティンヴェーク,アリーガッセ,ティンパンアリー,ティンパンアリー,D
シンドバッド・ストーリーブック・ヴォヤッジの巨大な鳥の名前は何？,ラク,リク,ルク,レク,ルク,C
シンドバッドの故郷はどこ？,ハスラ,パスラ,パズラ,バズラ,バズラ,D
トイ・ステーションでヒューイ、デューイ、ルーイが乗っている乗り物は何？,ロケット,ボート,電車,一輪車,ボート,B
トイ・ステーションでプルートが乗っている乗り物は何？,ロケット,ボート,電車,一輪車,ロケット,A
トイ・ステーションでグーフィーが乗っている乗り物は何？,ロケット,ボート,電車,一輪車,一輪車,D
ケープコッドのエリアには風見鶏ならぬ風見〇〇がある。その生き物は何？,イヌ,サカナ,ネコ,ウサギ,ネコ,C
レイジングスピリッツは元々どんな場所だった？,発掘場,祭祀場,道具置き場,休憩所,祭祀場,B
東京ディズニーランドのオムニバスは元々の大きさのどれぐらいのサイズ感で再現されている？,8分の5,8分の6,8分の7,8分の8,8分の5,A
東京ディズニーシー20周年を記念して期間限定で販売されたミッキー型のドーナットの中身のメインは何？,アップル,オレンジ,ピーチ,メロン,ピーチ,C
パン・ギャラクティック・ピザ・ポートのマネージャーのトニー・ソラローニは過去に何店舗お店を潰した？,10,50,100,1000,10,A
ディズニー映画「ピノキオ」でなまけものの子どもたちをロバに変えてしまう遊園地の名前は？,ハッピーアイランド,ハピネスアミューズメント,プレジャーアミューズメント,プレジャーアイランド,プレジャーアイランド,D
東京ディズニーシーのアメリカーウォーターフロントにある遊園地の名前は何？,トイビル・トローリーパーク,トイビル・トロリーパーク,トイ・トロリーパーク,トイ・トロパーク,トイビル・トロリーパーク,B
東京ディズニーランドのクリッターカントリーで暮らすクリッターの子供たちの間で使われている合言葉「フート」と聞こえたらなんと返す？,ガラー,ハラー,マラー,タラー,ハラー,B
トゥーンタウンにあるロジャーラビットの噴水はどういう経緯で建てられた物？,ロジャーラビットを称えるため,ロジャーラビットを拝めるため,ロジャーラビットを祟るため,ロジャーラビットを忘れないため,ロジャーラビットを称えるため,A
ホライズンベイ・レストランの入り口に吊るされているマンボウの形の潜水艇の名前は何？,フィッシュ・サブ,フィッシュ・ザブ,サンフィッシュ・サブ,サンフィッシュ・ザブ,サンフィッシュ・サブ,C
タウンセンターファッションの裁縫エリアは誰専用？,デイジー,クラリス,クララベル,ミニー,ミニー,D
タウンセンターファッションでデイジーが制作中の帽子は誰と誰の帽子？,ドナルドとデイジー,ミッキーとミニー,アリエルとアリス,ベルとシンデレラ,アリエルとアリス,C
東京ディズニーシーにあるミッキーとウォルトの象のウォルトは何歳の時を表している？,19歳,20歳,21歳,22歳,22歳,D
ディズニーの短編アニメーション『三匹の子ぶた』の長男の名前は何？,ファイファー,フィドラー,プラクティカル,ビッグ・バッド・ウルフ,ファイファー,A
ディズニーの短編アニメーション『三匹の子ぶた』の次男の名前は何？,ファイファー,フィドラー,プラクティカル,ビッグ・バッド・ウルフ,フィドラー,B
ディズニーの短編アニメーション『三匹の子ぶた』の三男の名前は何？,ファイファー,フィドラー,プラクティカル,ビッグ・バッド・ウルフ,プラクティカル,C
東京ディズニーランドのトゥーンタウンにあるドナルドのおうち「ドナルドのボート」の名前は何？,ミスター・ドナルド号,ミス・デイジー号,プリンス号,キング号,ミス・デイジー号,B
ドナルドのおうち「ドナルドのボート」が浮いている湖の名前は何？,タウンレイク,トゥーン池,タウン池,トゥーンレイク,トゥーンレイク,D
"フォートレスを本拠地として活動する""探検家・冒険家学会""の通称は何？",S.E.A,E.A.S,A.S.E,S.A.E,S.E.A,A
ウエスタンリバー鉄道のコロラド号の車体番号は何番？,51,52,53,54,53,C
ウエスタンリバー鉄道のミズーリ号の車体番号は何番？,25,26,27,28,28,D
ウエスタンリバー鉄道のリオ・グランデ号の車体番号は何番？,25,26,27,28,25,A
ウエスタンリバー鉄道のミシシッピ号に書かれている動物は何？,グリズリーベア,バッファロー,雄ジカ,雌ジカ,バッファロー,B
スター・ツアーズ：ザ・アドベンチャーズ・コンティニューでゲストが乗る乗り物の名前は何？,スタースピーダー1,スタースピーダー10,スタースピーダー100,スタースピーダー1000,スタースピーダー1000,D
1975年にフロリダのウォルト・ディズニー・ワールド・リゾートに誕生した「スペース・マウンテン」は、アメリカ人宇宙飛行士の誰がコンサルタントとしてプロジェクトに参加していたか？,ゴードン・クーパー,アラン・ビーン,ウイリアム・ボーグ,サリー・ライド,ゴードン・クーパー,A
アリスのティーパーティーは昔どこにあった？,ファンタジーランドとトゥモローランドの境,トゥーンタウンとトゥモローランドの境,ファンタジーランドとトゥモローランドの境,ウエスタンランドとファンタジーランドの境,ファンタジーランドとトゥモローランドの境,C
モンスターズ・インク・カンパニーストアのサリーの写真の下にあるピンクの縁のメガネにある逸話は何？,祝勝会の余興で、マイク・ワゾウスキがかけたメガネ,倒すべきピンがよく見えるよう、球にかけさせたメガネ,ただのおしゃれ,ロズがボウリングの時だけかけるメガネ,倒すべきピンがよく見えるよう、球にかけさせたメガネ,B
東京ディズニーシーのフォトグラフィカのオーナーは誰？,ロレンゾ・カルツォーネ,ローレンス・カルデローネ,ロレンゾ・カルデローネ,ロレゾン・カルデローネ,ロレンゾ・カルデローネ,C
トムソーヤのツリーハウスの裏手にある沼の名前は何？,ハックルベリー沼,バックルベリー沼,ハックルペリー沼,バックルペリー沼,ハックルベリー沼,A
トムソーヤ島にあるお城のような形の岩の名前は何？,キャロットロック,キャッスルロック,キャッスルイワ,シロロック,キャッスルロック,B
アメリカンウォーターフロントにあるウォーターフロントパークの水しぶきの出所の名前は何？,ウォーターフロントパーク・マウンテン,フロントパーク・ファウンテン,ウォーターパーク・ファウンテン,ウォーターフロントパーク・ファウンテン,ウォーターフロントパーク・ファウンテン,D
東京ディズニーランドのグランドオープン当時のアトラクションの数はいくつ？,29,30,31,32,32,D
ウォルト・ディズニー自身が監修した最後のアトラクションは何？,ホーンテッドマンション,カリブの海賊,白雪姫と七人の小人,蒸気船マークトウェイン号,カリブの海賊,B
アメリカンウォーターフロントのホテルハイタワーの特徴である建物の側面に見られる２つの張り出し部分は何を連想させるためにこの形にした？,ハンマー,十字架,釘,手,ハンマー,A
マンマ・ビスコッティーズ・ベーカリーで腕を振るっている夫人の名前は何？,オアリーナ・ビスコッティー,オワリーナ・ビスコッティー,オリアーナ・ビスコッティー,オリアナ・ビスコッティー,オリアーナ・ビスコッティー,C
S.S.コロンビア号の前にある広場の名前は何？,ホレイショースクエア,ホエールショースクエア,ホワイトショースクエア,アルジャースクエア,ホレイショースクエア,A
蒸気船マークトウェイン号の船着場の建物の様式は何？,コロニアル様式,フェデラル様式,アーリー・アメリカン様式,クイーンアンスタイル様式,フェデラル様式,B
"カニのセバスチャンがこよなく愛する""カリプソ""のお長くは何拍子の音楽？",4分の3拍子,2分の3拍子,4分の2拍子,4分の4拍子,4分の2拍子,C
ロストリバーデルタにある「トロピック・アルズ」の日除に書かれている鳥のニックネームは何？,トゥーカン,トロピー,アルズ,アル,アル,D
リトルグリーンメンの言葉で、「うれしい！」という意味の言葉は何？,アアアア！,ウウウウ！,オオオオ！,ウォウォウォウォ！,ウウウウ！,B
「イッツ・ア・スモールワールド」が、初めてお披露目された場所はどこ？,東京ディズニーランド,カリフォルニアディズニーランド,ニューヨーク世界博覧会,ロサンゼルス,ニューヨーク世界博覧会,C
バンビが初めて話した言葉は何？,とり,はな,お母さん,雨,とり,A
「おしゃれキャット」の中でマリーが話した日本語は何？,こんにちは,ありがとう,こんばんは,さよなら,さよなら,D
スティッチが犬のふりをしているときに体内にどの部分を隠している,角と手２本,鼻と足２本,触覚と中足２本,牙と触覚,触覚と中足２本,C
グーフィーの奥さんは誰？,クララベル・カウ,マックス,ミス・グーフィー,ミセス・グーフィー,ミセス・グーフィー,D
ベルが友情出演しているディズニー映画は何？,レミーのおいしいレストラン,ノートルダムの鐘,プリンセスと魔法のキス,アナと雪の女王,ノートルダムの鐘,B
モンスターズインクでサリーがブーをモンスターに変装させるために使った材料は何？,椅子のカバー,クッション,マフラー,毛布,椅子のカバー,A
「トイ・ストーリー２」に登場する、ペンギン人形のウィージーがヤード・セールで付けられた値段はいくら？,10セント,15セント,25セント,50セント,25セント,C
ピーターパンのダーリング家の長女、ウェンディのフルネームは何？,ウェンディ・モイラ・アンジェラ・ダーリング,ウェンディ・モイラ・アンジー・ダーリング,ウェンディ・モイラ・キャサリン・ダーリング,ウェンディ・モイラ・ジェシー・ダーリング,ウェンディ・モイラ・アンジェラ・ダーリング,A
プーさんの家の表札に書かれている名前は何？,ハニー,テイラー,ロバーツ,サンダース,サンダース,D
ピグレットが住んでいる木の種類は何？,スギ,クルミ,柳,ブナ,ブナ,D
ビッグサンダー・マウンテンの鉱山で落盤事故に合い、愛犬のディガーに助けられた人物の名前は何？,チャーリー・サム,セドナ・サム,アダム・サム,ホワイト・サム,セドナ・サム,B
インディ・ジョーンズアドベンチャーのアトラクションの待ち列にある新聞に載ってる日本人の名前は何？,矢野恒太,長瀬富郎,松下幸之助,井畑田一,松下幸之助,C
蒸気船マークトウェイン号のマークトウェインはどんな意味？,映画のタイトル,地名,小説家の名前,川の名前,小説家の名前,C
シンデレラ城の中央にある時計は何を示している？,星座,ウォルト・ディズニーが生まれた場所,カリフォルニアのディズニーランドの場所,日付,星座,A
アメリカンウォーターフロントにある赤い橋の名前は何？,ハドソン・リバー,ハドソン・リバー・ブリッジ,レッド・リバー・ブリッジ,レッド・ブリッジ,ハドソン・リバー・ブリッジ,B
海底2万マイルのアトラクションの待ち列で聞こえる楽器は何？,ピアノ,サックス,フルート,パイプオルガン,パイプオルガン,D
ケープコッドから見たプロメテウス火山の特徴は何？,溶岩流が固まったものが見れる,花崗岩がある,草が生い茂っている,溶岩が流れている,花崗岩がある,B
ポートディスカバリーから見たプロメテウス火山の特徴は何？,溶岩流が固まったものが見れる,花崗岩がある,草が生い茂っている,溶岩が流れている,草が生い茂っている,C
ハイタワー3世がアジアを探検したのはいつ？,1875年,1899年,1922年,1963年,1874年,A
シリキ・ウトゥンドゥの所有者はいくつのルールを守る必要がある？,5つ,6つ,7つ,8つ,8つ,D
タワー・オブ・テラーのホテルの庭園の2つの名前は何？,魔法の庭園・呪いの庭園,魔宮の庭園・スピリッツの庭園,瞑想の中庭・インドの中庭,瞑想の庭園・インドの庭園,瞑想の庭園・インドの庭園,D
タワー・オブ・テラーの瞑想の庭園にある書きかけの女性と銅像の絵の女性の名前は何？,ベアトリス・ローズ・エンディコット,ベアトリス・フラワー・エンディコット,ベアト・ロー・エンディ,ベアトリス・ローズ・エンディコ,ベアトリス・ローズ・エンディコット,A
インディ・ジョーンズ・アドベンチャー：クリスタルスカルの魔宮の骸骨が落ちていたり、壁画が崩れている部屋の名前は何？,骸骨の間,生贄の間,髑髏の間,呪いの間,生贄の間,B
フローズンキングダムでお店が全て閉まっている理由は何？,国民の休日,山に逃げている,パーティーが開かれる,寝ている,パーティーが開かれる,C
トゥーンタウンのミニーの家の冷蔵庫の中身は何？,ケーキ,野菜,チーズ,空っぽ,チーズ,C
トゥーンタウンのドナルドの家に飾られているドナルドと2ショットで写っているのは誰？,ウォルト・ディズニー,デイジー,ミッキー,グーフィー,ウォルト・ディズニー,A
ホーンテッドマンションの風見鶏は実は何の動物？,鶏,コウモリ,犬,猫,コウモリ,B
プルートの首輪のネームプレートに書かれている言葉は何？,僕、プルート,ご飯ちょうだい,一緒に遊ぼう,もし見つけたらミッキーまで,もし見つけたらミッキーまで,D
プルートが唯一話したことのある言葉は何？,キスして,撫でて,ご飯ちょうだい,助けて,キスして,A
プルートの名前の由来になったものは何？,食べ物,犬種,星,声優,星,C
ミニーの姪っ子のミリーのリボンの色は何色？,黄色,ピンク,緑,青,青,D
ミニーの姪っ子のメロディのリボンの色は何色？,黄色,ピンク,緑,青,ピンク,B